iso3,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,variable,is_WTO
FIN,156428,149977,142302,121874,135422,131733,149446,164677,148666,154626,156097,153702,162310,167776,182944,182853,192901,190733,183876,capture_production,TRUE
FJI,42366,45106,40320,37237.8,49632.66,47390,48733,47247,46595,46387,41943,46159,44363,40863,43290,41234,44652,47126,43672,capture_production,TRUE
FLK,75479,68332,53261,74898,55369,84546,75288,72147,81708,62747,99560,66978,95965,69540,79434,60475,61006,67509,96748,capture_production,TRUE
FRA,694452.6,671905.7,701925,709038.7,664898.2,598482.8,595153.9,553685.7,500162.8,440199.3,452243.5,501858.5,472560.5,540350.1,556717,507036.1,572553.2,545667.8,611842.36,capture_production,TRUE
FRA-T,746218.32,728114.7,751949.791,756643.323,710727.4,643135.55,640861.1,610315.4,555281.8,496391.3,513267.5,568194.5,538557.5,599991.1,589605,539159.1,604411.2,575343.8,641188.131,capture_production,TRUE
FRO,454399,515909,525991,620991,599386,565260,623122,620834,518267,351018,393875,354956,360471,487140,542836,585564,568435,701892,660056,capture_production,TRUE
FSM,23460,19471,22926,33753,31972,32361,15442,20873,25445,28606,31526,37345,47853,36320,52706,71707,88397,98931,129916,capture_production,FALSE
GAB,47826,42871,41570,45479,46072,43863,41521,37814,31326,29589,32692,36522,36500,36600,36855,33000,31000,29000,29000,capture_production,TRUE
GBR,754478,769481,728987,643819.002,654495,670334,624684,619692,595993,590853,612629,601267,631199,632315,755654,705601,703234,725981,700227,capture_production,TRUE
GBR-T,842540,851866,796393,734248.002,723048,769119,713820,707089,690573,667361,728455,686088,742659,716011,846622,781111,779390,808366,810102,capture_production,TRUE
GEO,1791,1636,1811,3306,11988,9974,14746,44068,48443,50026,46049,26547,12070,15520,19020,22520,44708,137423.206,213077,capture_production,TRUE
GGY,3589,3927,3449,3526,3201,3505,3468,3566,3228,2649,3373,2976,2955,2848,2983,2574,2985,2731,3203,capture_production,TRUE
GHA,454346,450353,375182,393547,420911,373985,375050,316564,351231,324585,348089,344575,366044,300718,290199,347621,332635,381091,376767,capture_production,TRUE
GIB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,capture_production,TRUE
GIN,91513,105404,93754,121925,97730,109138,104718,82073,94513,127746,113504,184962,198282,230049,207348,193142,172892,333197,286675,capture_production,TRUE
GLP,8800,8400,8000,7600,7200,6800,6400,6000,5600,5200,4800,6000,3200,3500,3000,2700,3100,3100,3100,capture_production,TRUE
GMB,29016,34527,37405,37366,32817,34955,37477,43574,42881,45884,46624,41500,36062,43726,51500,55968,58261,60461,49526,capture_production,TRUE
GNB,6315,6848,7324,6153,6650,6983,7067,6500,6804,6721,6584,6549,6829,6707,6700,6700,6700,6700,6700,capture_production,TRUE
GNQ,3634,3600,3550,3550,3500,3750,4000,4533,5400,7669,7376,7115,7834,6940,6068,6420,6451,6380,6410,capture_production,TRUE
GRC,99343.7,94196.4,96078.9,93781.4,93891.4,92430.5,98239.7,96095.8,85885.3,83181.8,70179.8,63246.5,61044.2,64171.2,60172.7,65426.6,76570.3,78183,77236.8,capture_production,TRUE
GRD,1701,2250,2171,2544,2039,2048,2163,2207,2386,2648,2182,2322,2263,2695,2850,2707,2550,2550,2550,capture_production,TRUE
GRL,159711,158485,195624,175321,212988,234864,252959,233754,241899,214667,209446,214493,222894,275432,292441,268371,273175,310741,301052,capture_production,TRUE
GTM,39203,29704,23427,23696,10012,18979,17569,17965,23291,20149,22332,19844,19991,22086,22178,20497,19039,20519,17009,capture_production,TRUE
GUF,4837,4599,4782,5565,5514,5285,4442,4857,3958,4140,3800,2689,2454,2229,1962,2257,1920,2143,1840,capture_production,TRUE
GUM,624,673,435,456,532,280,418,326,329,462,394,386,354,437,410,1312,1391,396,370,capture_production,TRUE
GUY,48887,53405,48017,59695,56719,53370,53763,47448,42168,43605,45188,43185,53844,49268,37746,36558,42142,42977,41388,capture_production,TRUE
HKG,157012,173972,169790,157444,167544,161964,154536,154147,158126,158965,168010,170720,155230,170129,160789,145193,142775,127554,124299,capture_production,TRUE
HND,17915,22292,15789,17343,17569,21139,22546,16636,14160,12408,12075,11181,12198,11849,8639,10759,10600,10600,10600,capture_production,TRUE
HRV,21068.244,18551.125,21235.539,19957.036,30172.121,34693.09,37876.132,40225.633,49062.08,55788.5,52867.3,71396.06,64389.18,75831.34,80369,73944,73301.5,69939.655,70557.333,capture_production,TRUE
HTI,7410,7810,8110,8310,9660,11010,12260,13510,14810,16010,13710,16530,16510,16510,16510,16510,16510,16510,16350,capture_production,TRUE
HUN,7101,6638,6750,6536,7242,7609,7543,7024,7394,6366,6216,7048,6717,6472,7463,5926,5048,5607,5234,capture_production,TRUE
IDN,4158534.6,4335940,4404801,4698733,4739638,4703117,4798414,5042176,5002765,5115756,5390461,5759674,5865661,6143599,6530407,6739658,6584389,6783899.461,7260640.184,capture_production,TRUE
IMN,3552,3112,3127,2984,2627,2764,2579,3812,2770,3555,4814,6844,6172,5745,3755,7781,7040,6759,4431,capture_production,TRUE
IND,3726427,3817092,3783853,3757899,3426509,3725362,3877337,3890293,4128727,4094756,4715816,4336132,4895141,4665440,4999493,4862038,5196945,5553948,5342888.000001,capture_production,TRUE
IOT,0,0,28,28,28,28,21,24,34,44,40,33,9,11,9,12,7,14,10,capture_production,TRUE
IRL,312392,392528,318720,301218,310570,297181,241277,244368,234819,298584,348441,243454,305426,275950,306424,264370,259856,276330,251241,capture_production,TRUE
IRN,383991,351142,324838,350123,369990,410567,445879,402767,407842,420372,443650,487633,537271,553776,620427,631122,689722,782480,828872,capture_production,TRUE
IRQ,20767,33300,26000,17200,12936,26008,59075,53032,34580,28245,19348,31541,51077,56853,59000,27296,31300,35220,36936,capture_production,TRUE
ISL,2000046,2003941,2149508,2008658,1755172,1685753,1348043,1421057,1306593,1164432,1081655,1164914,1466751,1380229,1095508,1336425,1085502,1197989,1278293,capture_production,TRUE
ISR,5818,5024,5043,4055,3340,4151,3820,3435,2708,2712,2612,2575,3224,1983,2042,2097,1588,2054,2054,capture_production,TRUE
ITA,304156.85,312408.7,271902.1,297700.8,288939.8,298584.1,317852.7,289479.45,237619.5,254520,234960.5,217829.7,202430.4,177914.7,183846,198768.9,197945,197389.4,206936,capture_production,TRUE
JAM,5540,14319,14892,12482,13471,13096,17703,16398,13055,16154,15390,17998,15383,18349,15204,17025,16800,19264,15346,capture_production,TRUE
JOR,550,520,526,481,494,510,497,506,500,569,486,500,648,760,873,873,873,873,873,capture_production,TRUE
JPN,5191575.05,4835571.5,4501728.24,4800065.744,4451151.71,4440914.196,4451205.34,4430071.55,4441302.615,4230700.65,4188376.309,3879046.209,3762694.31,3735655.425,3730628.502,3498138.8,3280814.614,3275723.112,3207125.005,capture_production,TRUE
KAZ,36620,22960,24668,25195,33306,37621,30045,34201,51267,38170,46827,34896,36939,34692,37137,40461,41335,31157,32000,capture_production,TRUE
KEN,215798.911,164760.324,145164.334,120532,127297.074,147920,159266,132282,136109,134157,140607,181450,158805,163207,169161,165367,142133,121836,123000,capture_production,TRUE
KGZ,52,180,151,63,7,26,37,14,8,10,27,60,90,120,227,31,89,90,19,capture_production,TRUE
KHM,284368,428200,406182,364357,305817,384000,482500,458500,431000,465000,490094,560839,566695,639468,625255,608193,629950,665993,689155,capture_production,TRUE
KIR,35446,33280,36694,33712,31061,30562,25661,34170,27299,39426,43116,62927,77779,81531,116969,146036,172822,161136,196895,capture_production,FALSE
KNA,970,1039,949,873,1111,1516,1179,1275,1342,2064,21754,31071,21887,17717,66142,100398,65769,85457,1047,capture_production,TRUE
KOR,1838195,2008995,1704448,1661787,1589746,1661761,1772459,1888362,1970882,1871904,1735000.004,1757119.002,1677271,1603351,1754212.003,1657631,1370495,1361791,1344787,capture_production,TRUE
KWT,6978,5846,5360,4060,5061,4895,5635,4373,3979,4708,6373,4038,4030,4633,4197,4287,5493,3978,2871,capture_production,TRUE
LAO,29250,31000,33440,29800,29800,26560,26925,28410,29200,30800,30900,34000,34106,38946,60237,62635,70915,70900,70900,capture_production,TRUE
LBN,3666,3670,3970,3898,3866,3798,3811,3700,3600,3500,3400,3300,3200,3100,2998,3638,4291,3617,2796,capture_production,TRUE
LBR,11518,10496,11042,10464,13725,12147,8894,14488,7890,10700,11700,13571,14159,15201,14522,14079,13718,11974,14115,capture_production,TRUE
LBY,49969,47296,44013,41834,39902,37395,34652,31926,47650,52117.3,50006,30004,35004,36004,25003,26002,30002,32000,32266,capture_production,TRUE
LCA,2027,2160,1895,1668,1706,1590,1647,1732,1895,2066,1964,1811,1944,1991,1982,2030,2117,2091,2019,capture_production,TRUE
LIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,capture_production,TRUE
LKA,296749.6,267550,272602,319759.2,332854.4,216663,278603,304903,323888,336942,390187,428204,475801,494436,530482,502062,520931,507979,510537,capture_production,TRUE
LSO,32,24,40,42,45,45,45,48,50,45,45,45,50,50,52,52,52,52,52,capture_production,TRUE
LTU,78988,150831,150146,157205,161988,139785,154548,187513,182760,172692,149851,138557,66970,90871,150067,85144,106945,89770,74383,capture_production,TRUE
LUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,capture_production,TRUE
LVA,136403,128176,117553,114543,125391,150618,140389,155276,157934,163213,164819,154310,94404,116029,119536,81340,114278,118140,135467,capture_production,TRUE
MAC,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,capture_production,TRUE
MAF,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,capture_production,TRUE
MAR,914824.2,1106101.9,969539.6,929778.6,931280.7,1039210,891750.6,891845.5,1006167.7,1175436.5,1143652.113,978737.386,1180170.384,1275508.7,1375097.053,1384017.611,1472314.416,1402130.8,1386548.003,capture_production,TRUE
MAR-T,914824.2,1106101.9,969539.6,929778.6,931280.7,1039210,891750.6,891845.5,1006167.7,1175436.5,1143652.113,978737.386,1180170.384,1275508.7,1375097.053,1384017.611,1472314.416,1402130.8,1386548.003,capture_production,TRUE
MCO,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,capture_production,FALSE
MDA,25,28,38,58,85,56,51,26,36,26,44,50,50,50,50,50,50,50,50,capture_production,TRUE
MDG,120967,124415,130125,130670,135916,133648,134693,148578,121264,132103,129638,127070,118075,104597,95821,114751,142333,161606,129568,capture_production,TRUE
MDV,119373,127636,163770,156132,158528,186274,185811,144511,133839,117061,122804,120835,120000,130217,128695,127381,129331,142378,151013,capture_production,TRUE
MEX,1349763.405,1445866.5,1481136.88,1386469.052,1289156.426,1325083.514,1368538.309,1475194.479,1586975.659,1619392.826,1528282,1571660.628,1581200.203,1626418.147,1529367.569,1479562.952,1524467.283,1637380.509,1699290.203,capture_production,TRUE
MHL,8261,36581,39859,38885,47887,57583,43974,61230,35103,46316,59751,93272,75388,80624,78743,89742,64795,70572,77700,capture_production,FALSE
MKD,208,128,148,162,213,271,147,177,166,222,236,268,249,334,282,350,122,87,140,capture_production,TRUE
MLI,109870,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,108134,71229,99353,80000,92480,102486,106221,90386,capture_production,TRUE
MLT,1074,902,1085,1138,1138,1406,1332,1235,1391,1641,1836,1920,2201,2356,2405,2563,3561,2164,2733,capture_production,TRUE
MMR,1093200,1187880,1284340,1343860,1586600,1732250,1823450,1907750,1907010,1892600,1961150,1975920,1962231,1919001,1970550,1970470,2072390,2155440,2033110,capture_production,TRUE
MNE,0,0,0,0,0,0,1524.8,1131,1680,1661.2,1345.4,1517.6,1390.6,1580.5,1556.4,1486.8,1595,1079.7,1292.8,capture_production,TRUE
MNG,425,290,263,382,305,366,326,185,88,90,100,80,61,55,49,63,15,22,25,capture_production,TRUE
MNP,336,406,296,172,169,214,221,219,168,192,243,186,222,942,1169,1082,1022,1041,1154,capture_production,TRUE
MOZ,41530,36556,38185,87904,90588,83996,93882,92623,121655,150780,162555,195280,210696,222101,253023,286717,299753,329561,328276,capture_production,TRUE
MRT,114456,140142,156131,199650,270733,304877,165312,223207,195328,216900,276238,372011,437709,387833,378339,403776,609754,794580,967706.7520000001,capture_production,TRUE
MSR,33,32,32,34,31,50,49,35,31,37,24,33,41,44,41,34,31,26,30,capture_production,TRUE
MTQ,6310,6200,6200,6200,6200,5500,6300,7200,8142,7000,6000,5000,4000,900,736,750,778,783,783,capture_production,TRUE
MUS,9615,10986,10706,10968,9971,9855,8681,8325,6871,7856,7366,7306,6352,7913,14655,15796,18211,24987,28314,capture_production,TRUE
MWI,50000,40619,41329,53543,56463,59595,72787,66500,70019,69325,98298,82415,125392,112248,116129,141643,152852,199455,221849,capture_production,TRUE
MYS,1293397,1238860,1279653,1291121,1339771,1218264,1290377,1389534,1402330,1401503,1437456,1382879,1481361,1492620,1468726,1496055,1584371,1474370,1461701,capture_production,TRUE
MYT,3048,9612,4756,3464,2306,2196,4961,11082,12088,14539,20330,28602,31034,27929,1962,1136,1538,704,1117,capture_production,TRUE
NAM,590674,548777,626068,638207,571199,553995,509585,413333,372822,378847,381929,411348,469395,485580,443967,509863,515658,501421,490149,capture_production,TRUE
NCL,3482.4,3499,3457.9,3552.5,3853,3467,3333,3704.7,3919,3862,4027,3897,3790,3869,4063,4004,3822,3673,3076.771,capture_production,TRUE
NER,16250,20800,23560,55860,51466,50018,29835,29728,29960,29884,40000,53173,46500,45000,47000,27000,34592,25195,31042,capture_production,TRUE
NFK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,capture_production,TRUE
NGA,441377,452146,481056,475162,465251,523182,552323,530420,601368,598210,616981,635486,668754,721355,759828,710331,734731,916283.97,878155,capture_production,TRUE
NIC,22519,20033,19558,15654,19668,28239,32198,27316,31312,37853,40978,33527,33784,40979,54279,41534,45023,50982,54554,capture_production,TRUE
NIU,200,200,200,200,200,212,400,407,478,203,113,6,7,38,38,38,38,38,38,capture_production,FALSE
NLD,495774,518163,464036,526281,521636,555606,513079,487592,440291,386942,434419,370096,347264,327437,371367,384475,370249,500183,411714,capture_production,TRUE
NLD-T,515878,541191,477160,546650,539144,556623,519864,492065,457451,407741,454147,392750,372806,354140,400488,415290,406499,533584,450069,capture_production,TRUE
NOR,2891791,2862152,2923116,2702012,2672699,2546500,2401781,2514659,2585198,2692824,2838434,2434684,2291295,2233488,2455927,2441261,2203225,2543061,2658388,capture_production,TRUE
NOR-T,2891791,2862152,2923116,2702012,2672699,2546500,2401781,2514659,2585198,2692824,2838434,2434684,2291295,2233488,2455927,2441261,2203225,2543061,2658388,capture_production,TRUE
NPL,16700,16700,17900,18888,19947,19983,20016,20100,21500,21500,21500,21500,21500,21500,21500,21500,21500,21000,22070,capture_production,TRUE
NRU,380,360,342,342,300,330,370,420,475,530,589,540,492,523,530,530,530,530,530,capture_production,FALSE
NZL,553459,569836,588649,550929,546072,545460.008,476798.006,494692.006,452534.324,439762.402,436593.362,430338.006,441926.491,444027.248,442698.17,433312.86,424791,431563.401,407798.9,capture_production,TRUE
NZL-T,553619,569976,588777,551042,546175,545556.008,476884.006,494770.006,452602.324,439824.402,436647.362,430392.006,442174.491,444225.248,442803.17,433510.86,424989,431649.401,407872.9,capture_production,TRUE
OMN,120421,129907,142669,138481,165016,157326,147668,151744,151910,158551,163927,158566,191563,206169,211037,257022,279606,347539,553445,capture_production,TRUE
PAK,598743,540804,534670,499366,494829,449993,506473,453295,470665,459058,455514,454473,476195,484646,480123,509479,516356,536926,504810,capture_production,TRUE
PAN,227596,276769,256302,230114,215374,264503,263606,222601,230648,239371,182079,171021,179658,200276,161210,143801,148568,146836,175547,capture_production,TRUE
PCN,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,capture_production,TRUE
PER,10658577,7991712,8771365,6093924,9611945,9393488,7020925,7221330,7408317,6933455,4305975,8254957,4852760,5876493,3599053,4843860,3828751,4185193,7208409.468,capture_production,TRUE
PHL,1920492,1961989,2038379,2157093,2205295,2261540,2299043.49,2460837,2492809,2515344,2504223,2222163,2207571,2202942,2249780,2154908,2028092.5,1889989.84,2052506.71,capture_production,TRUE
PLW,1271,1084,1027,1047,1079,1430.9,967,1141.82,1168.2,1034,967,1000.2,905,887,864,848,818,812,760,capture_production,FALSE
PNG,110108.376,125263.881,141600.417,177328.565,242999.371,254573.484,253548.699,247890.152,222826.506,230659.729,226361.944,185441.745,257626.36,214017.47,257244.47,234977.47,309244.47,324723,250323,capture_production,TRUE
POL,217682,225064,223440,180399,192108,155247,145479,151820,142496,223893,189722,198308,198385,214170,191598,205428,218115,226396,222704,capture_production,TRUE
PRI,5454,5043,3237,3786,3342,3561,2806,2305,2423,2312,2593,2024,1861,2002,2057,2148,1901,1606,1649,capture_production,TRUE
PRK,212850,206500,205000,205000,205000,205000,205000,205000,205000,207000,217500,219000,213500,209000,226000,220000,209000,208700,208700,capture_production,FALSE
PRT,192120,194464,203418,212817,222556,221082,229837,256683,224446,199165,223546,216159,198738,196558,183664,190100,186545,182615,178270,capture_production,TRUE
PRY,28000,25000,24200,23400,22600,21800,21000,20200,19400,18600,17800,17000,16400,15900,15300,14700,14100,13399.997,12999.998,capture_production,TRUE
PSE,2623,1950,2379,1507,2951,1814,2323,2702,2843,1525,1699,1318,2091,1930,2854,3227,3306,3208,3201,capture_production,FALSE
PYF,13894.32,15189,15287.891,13604,12306,11589,12778,13177,12284,13374,13044,12852,14387,14533,15307,14180,13754,13038,13025,capture_production,TRUE
QAT,7140,8864,7155,11295,11134,13935,16376,15190,17688,14064,13760,12985,11275,12006,16213,15203,14516,15358,14669,capture_production,TRUE
